stop_id,stop_name,route_id,latitude,longitude,source
OSM_1273478273,MAV School,Kathmandu Transit,27.6570679,85.3262883,Yatayat / OpenStreetMap
OSM_1274038133,Maitidevi Temple stop,Kathmandu Transit,27.7064123,85.3337332,Yatayat / OpenStreetMap
OSM_1274184084,Purano Bus Park,Ratna Park - Sundarijal,27.7037097,85.3164292,Yatayat / OpenStreetMap
OSM_1278025470,Basundhara,Chakrapath Parikrama,27.7406158,85.3293507,Yatayat / OpenStreetMap
OSM_1278980875,Damkal,Kathmandu Transit,27.6757962,85.3157473,Yatayat / OpenStreetMap
OSM_1279198122,Krishna Pauroti Stop,Ratna Park - Sundarijal,27.7103689,85.322281,Yatayat / OpenStreetMap
OSM_1279198216,Bal Mandir,Purano Bus Park- Patan Dhoka,27.7144861,85.3294256,Yatayat / OpenStreetMap
OSM_1281218812,Maiti Devi chowk,Gothatar-Purano Buspark,27.7039436,85.3326817,Yatayat / OpenStreetMap
OSM_1281218814,Ratopul,Ratna Park - Sundarijal,27.7081167,85.3364277,Yatayat / OpenStreetMap
OSM_1281218920,Ratopul Stop,Kathmandu Transit,27.7081009,85.3374841,Yatayat / OpenStreetMap
OSM_1281221676,Thapagaun Stop,Balkumari-Gopi Krishna,27.6911328,85.3340314,Yatayat / OpenStreetMap
OSM_1281221704,Ratna Rajya Stop,Kathmandu Transit,27.6956673,85.3376196,Yatayat / OpenStreetMap
OSM_1317078042,Balkumari Bridge Stop,Balkumari-Gopi Krishna,27.6737617,85.3425079,Yatayat / OpenStreetMap
OSM_1317084932,Milan Chowk Stop,Kathmandu Transit,27.6951694,85.3406376,Yatayat / OpenStreetMap
OSM_1317084963,Sangam Chowk Stop,Kathmandu Transit,27.6931956,85.3405019,Yatayat / OpenStreetMap
OSM_1376180845,Golfutar stop,Kathmandu Transit,27.7514403,85.3459686,Yatayat / OpenStreetMap
OSM_1382824220,Shantinagar Stop,Kathmandu Transit,27.6871526,85.3408193,Yatayat / OpenStreetMap
OSM_1394568906,Bhimsengola stop,Gothatar-Purano Buspark,27.7003775,85.3432561,Yatayat / OpenStreetMap
OSM_1395061503,JayaBageshwari Stop,Purano Bus Park - jorpati,27.7119891,85.3449986,Yatayat / OpenStreetMap
OSM_1399427366,Tempo Stop Near Old Baneshwar,Kathmandu Transit,27.700669,85.3396774,Yatayat / OpenStreetMap
OSM_1489359102,Gwarko Chowk Stop,Kathmandu Transit,27.6666661,85.3321608,Yatayat / OpenStreetMap
OSM_1489359269,B & B Hospital/KCM Stop,Kathmandu Transit,27.6642208,85.3301515,Yatayat / OpenStreetMap
OSM_1490234323,Ciy Center Stop,Ratna Park - Sundarijal,27.7098189,85.3269842,Yatayat / OpenStreetMap
OSM_1496605759,Sanepa height,Chakrapath Parikrama,27.6744676,85.3022166,Yatayat / OpenStreetMap
OSM_1523319418,Gopi Krishna Stop,Balkumari-Gopi Krishna,27.7226748,85.3453352,Yatayat / OpenStreetMap
OSM_1523358463,Budhanilkantha Stop,Kathmandu Transit,27.7767777,85.3621005,Yatayat / OpenStreetMap
OSM_1656558864,Changu Narayan,Ratnapark-Changu,27.7163215,85.43078,Yatayat / OpenStreetMap
OSM_1659430258,Dhungedhara,Chakrapath Parikrama,27.7234101,85.2946749,Yatayat / OpenStreetMap
OSM_1667090463,Satdobato Chowk Stop,Kalanki- Lagankhel,27.6587797,85.3247842,Yatayat / OpenStreetMap
OSM_1667091894,Matatirtha Stop,Kathmandu Transit,27.6805772,85.2328579,Yatayat / OpenStreetMap
OSM_1776714288,Chakrapath Stop-- South,Chakrapath Parikrama,27.7398348,85.336915,Yatayat / OpenStreetMap
OSM_1776714654,Lazimpat stop,Kathmandu Transit,27.7225227,85.3209237,Yatayat / OpenStreetMap
OSM_1802350559,Bansbari stop,Kathmandu Transit,27.745758,85.3423734,Yatayat / OpenStreetMap
OSM_1803547375,Tripureshwor,Kathmandu Transit,27.6943809,85.3141694,Yatayat / OpenStreetMap
OSM_1805062851,Singha Durbar West Stop,Purano Bus Park- Patan Dhoka,27.6965549,85.3212565,Yatayat / OpenStreetMap
OSM_1805062970,Bhadrakali,Purano Bus Park - jorpati,27.6993518,85.3177129,Yatayat / OpenStreetMap
OSM_1805074830,Maitighar,Naikap-Koteshwor,27.693915,85.3209936,Yatayat / OpenStreetMap
OSM_1805074834,Maitighar,Kathmandu Transit,27.6940159,85.32093,Yatayat / OpenStreetMap
OSM_1805074877,Singha Durbar West Stop,Kathmandu Transit,27.696626,85.3211991,Yatayat / OpenStreetMap
OSM_1805087571,Naya Baneshwor Bus Station,Naikap-Koteshwor,27.6885732,85.3347414,Yatayat / OpenStreetMap
OSM_1805087604,Babarmahal Stop,Purano Bus Park - jorpati,27.6903197,85.328762,Yatayat / OpenStreetMap
